function.	skin_15
K01840	26.7751563
K01841	0
K01843	0
K01844	0
K01845	181.8852415
K01846	0.7263922
K01847	34.1348049
K01848	0
K01849	0
K01851	0
K01854	9.2009686
K01856	1.182499
K01857	2.5001408
K01858	9.0038854
K01860	0
K01865	0
K01866	100.0000001
K01867	100.0000001
K01868	107.7481841
K01869	101.9370461
K01870	99.2736078
K01872	100.0000001
K01873	100.0000001
K01874	99.2736078
K01875	100.0000001
K01876	100.0000001
K01878	0
K01879	0
K01880	99.2736078
K01881	99.8029169
K01883	100.0000001
K01884	0
K01885	37.2881356
K01886	10.1694915
K01887	101.9370461
K01889	100.0000001
K01890	100.0000001
K01892	100.0000001
K01893	81.3559323
K01894	0
K01895	165.3302552
K01896	0
K01897	111.8249902
K01902	91.6493047
K01903	91.6493047
K01904	0
K01905	0
K01906	73.7091053
K01907	0.3941663
K01908	0
K01909	0
K01910	0
K01911	100.0000001
K01912	0.7883327
K01913	0
K01914	0
K01915	121.7016725
K01916	90.3598177
K01917	0
K01918	89.7009968
K01919	0
K01920	0
K01921	109.1108734
K01922	0
K01923	98.0629541
K01924	100.0000001
K01925	99.8029169
K01926	80.1452785
K01928	18.6440678
K01929	100.0000001
K01932	0
K01933	100.0000001
K01934	34.3656738
K01935	93.0626726
K01937	92.7698632
K01938	96.1540628
K01939	100.7263923
K01940	100.0000001
K01941	0.1970832
K01945	99.8029169
K01947	0
K01950	10.3665747
K01951	110.0625036
K01952	207.1344109
K01953	10.6537531
K01955	102.3312124
K01956	100.0000001
K01957	0
K01958	90.4949604
K01959	0
K01960	0
K01961	162.7118646
K01962	88.2538432
K01963	88.2538432
K01965	0
K01966	23.7682302
K01968	0
K01969	0.3941663
K01970	0
K01971	4.7975674
K01972	99.2736078
K01974	0
K01975	2.2411172
K01976	0
K01989	2.1059744
K01990	571.9409883
K01991	0
K01992	469.0410501
K01993	0
K01994	0
K01995	2.1791767
K01996	2.1791767
K01997	2.1791767
K01998	2.1791767
K01999	2.1791767
K02000	11.0479193
K02001	11.0479193
K02002	17.2982713
K02003	362.3571149
K02004	258.8771893
K02005	39.4335267
K02006	10.1694915
K02007	10.1694915
K02008	10.1694915
K02009	10.1694915
K02010	6.7965539
K02011	14.4490118
K02012	83.9855849
K02013	385.5284647
K02014	0
K02015	930.249452
K02016	717.3489505
K02017	93.22597
K02018	94.6055522
K02019	0
K02020	94.408469
K02021	3.6826398
K02022	0
K02023	18.2048539
K02024	0
K02025	64.7953149
K02026	13.773298
K02027	11.5941213
K02028	101.8919985
K02029	104.0711753
K02030	106.5375304
K02031	116.8477956
K02032	124.3651108
K02033	247.5758773
K02034	272.1042854
K02035	278.2251256
K02036	98.4233347
K02037	98.4233347
K02038	96.6495862
K02039	100.0000001
K02040	96.8804551
K02041	76.5302101
K02042	150.7292079
K02043	0
K02044	75.3195564
K02045	0.9234754
K02046	0.9234754
K02047	0.9234754
K02048	0.9234754
K02049	29.8440228
K02050	71.4905119
K02051	30.7055578
K02052	0
K02053	0
K02054	0
K02055	0
K02056	19.37046
K02057	30.992736
K02058	3.2884735
K02062	0.7263922
K02063	0.7263922
K02064	0.7263922
K02065	0
K02066	0
K02067	0
K02068	81.3559323
K02069	91.5254238
K02071	171.6707024
K02072	173.6077484
K02073	197.3478239
K02074	13.6437862
K02075	11.8700377
K02076	81.3559323
K02077	18.5708655
K02078	99.9380597
K02079	0
K02080	0
K02081	1.4527845
K02082	7.748184
K02083	2.6634383
K02086	81.3559323
K02092	0
K02093	0
K02094	0
K02095	0
K02096	0
K02097	0
K02099	0
K02100	0
K02101	0
K02103	0
K02106	0.3941663
K02108	100.0000001
K02109	99.8029169
K02110	100.0000001
K02111	100.0000001
K02112	100.0000001
K02113	100.0000001
K02114	100.0000001
K02115	100.0000001
K02116	75.5447943
K02117	0
K02118	0
K02119	0
K02120	0
K02121	0
K02122	0
K02123	0
K02124	0
K02160	160.7748186
K02164	0
K02167	0
K02168	8.2155527
K02169	0
K02170	0
K02171	27.1186441
K02172	29.0556901
K02173	0
K02182	0.7263922
K02188	1.4527845
K02189	0
K02190	0
K02191	0
K02192	0
K02193	0
K02194	0
K02195	0
K02196	0
K02197	0
K02198	0
K02199	0
K02200	0
K02203	0.7263922
K02204	0
K02205	0
K02217	96.6101696
K02221	99.4087506
K02224	16.2790698
K02225	0
K02226	0
K02227	16.2790698
K02228	14.8262853
K02229	6.7008278
K02230	19.7139478
K02231	9.0770877
K02232	16.4761529
K02233	17.0674024
K02234	0
K02236	81.3559323
K02237	99.8029169
K02238	98.6204179
K02239	0
K02240	81.3559323
K02241	0
K02242	81.3559323
K02243	83.2929783
K02244	79.4188863
K02245	81.3559323
K02246	81.3559323
K02247	0
K02248	0
K02249	0
K02250	81.3559323
K02251	0
K02252	0
K02253	0
K02254	0
K02255	0
K02258	0
K02259	107.2639226
K02274	16.464891
K02275	17.1912833
K02276	16.9942001
K02277	0
K02278	0
K02279	0
K02280	0
K02281	0
K02282	0
K02283	17.7205924
K02284	0
K02285	0
K02286	0
K02287	0
K02288	0
K02289	0
K02290	0
K02291	0
K02292	0
K02293	0
K02294	0
K02297	0
K02298	0
K02299	9.68523
K02300	0
K02301	98.5472156
K02302	0.1970832
K02303	113.5593221
K02304	81.3559323
K02305	0
K02313	100.0000001
K02314	100.0000001
K02315	0
K02316	99.8029169
K02317	0
K02334	29.8778085
K02335	100.0000001
K02336	0
K02337	105.0565911
K02338	98.5472156
K02339	0
K02340	100.0000001
K02341	100.0000001
K02342	127.4959177
K02343	98.3501324
K02344	0
K02345	0
K02346	100.7263923
K02347	81.3559323
K02348	17.9120446
K02351	17.1912833
K02352	76.2711865
K02355	99.5157386
K02356	99.2736078
K02357	100.0000001
K02358	100.0000001
K02361	8.6716595
K02362	0
K02363	1.1205586
K02364	0
K02371	7.748184
K02372	82.0823245
K02377	0
K02379	83.3605497
K02380	0
K02381	2.6634383
K02383	0
K02385	0
K02386	0
K02387	0
K02388	0
K02389	0
K02390	0
K02391	0
K02392	0
K02393	0
K02394	0
K02395	0
K02396	0
K02397	0
K02398	0
K02399	0
K02400	0
K02401	0
K02402	0
K02403	0
K02404	0
K02405	0
K02406	0
K02407	0
K02408	0
K02409	0
K02410	0
K02411	0
K02412	0
K02413	0
K02414	0
K02415	0
K02416	0
K02417	0
K02418	0
K02419	0
K02420	0
K02421	0
K02422	0
K02423	0
K02424	77.4818403
K02425	0
K02426	0
K02427	0
K02428	116.476153
K02429	7.9903147
K02430	0
K02431	0.7263922
K02433	101.3176419
K02434	100.0000001
K02435	99.8029169
K02436	0
K02437	103.4292472
K02438	19.702686
K02439	0
K02440	97.8320852
K02441	0
K02442	0
K02443	82.8087168
K02444	0
K02445	89.4081875
K02446	10.4116223
K02448	0
K02450	0
K02451	0
K02452	0
K02453	0
K02454	0
K02455	0
K02456	0
K02457	0
K02458	0
K02459	0
K02460	0
K02461	0
K02462	0
K02463	0
K02464	0
K02465	0
K02466	0
K02467	0
K02468	0
K02469	109.9724084
K02470	110.1694916
K02471	0
K02472	70.5219889
K02473	0
K02474	2.1341292
K02475	0.7883327
K02476	0.7883327
K02477	0
K02478	0
K02479	3.874092
K02480	0
K02481	0
K02482	0
K02483	8.61535
K02484	17.9176756
K02485	0
K02486	1.937046
K02487	0
K02488	0
K02489	0
K02490	0
K02491	0
K02492	100.0000001
K02493	100.0000001
K02494	0
K02495	100.0000001
K02496	0
K02497	79.4188863
K02498	0
K02499	81.3559323
K02500	92.7811252
K02501	92.9782083
K02502	0
K02503	90.9961147
K02504	0
K02505	0
K02506	0
K02507	0
K02508	0
K02509	0.3941663
K02510	0.3941663
K02511	0
K02517	11.8644068
K02518	100.0000001
K02519	100.0000001
K02520	98.0629541
K02521	0
K02523	0
K02525	0
K02526	0.3941663
K02527	0
