KO	GI_5
K00695	0
K00696	9.16813549824866e-05
K00697	6.34967391953502e-05
K00700	0.000282391829177019
K00701	5.65468340530646e-08
K00702	0.000193509918698299
K00703	0.000265702412832444
K00705	0.000314456757142086
K00709	0
K00712	4.86680351080557e-06
K00713	0
K00720	0
K00721	0.000233971021117102
K00728	1.02602387447953e-06
K00737	0
K00748	0.000172171538029238
K00752	3.95738573556685e-06
K00754	5.02514065536752e-05
K00756	9.52251346109316e-05
K00757	3.63264973747272e-05
K00758	3.90782868386206e-05
K00759	0.000235372320477735
K00760	0.000141355218388472
K00761	0.000264478083326016
K00762	0.000366243612043685
K00763	0.000253661366198409
K00764	0.000338305686979255
K00765	0.000267764907075006
K00766	0.000347068036290488
K00767	0.000272716505412729
K00768	5.41885883441934e-05
K00769	0
K00771	0
K00772	6.05081690224036e-05
K00773	0.000269573950039815
K00776	0
K00782	4.86680351080557e-06
K00783	0.000284953412587486
K00784	0.000150033973823591
K00785	0
K00786	2.42486885251522e-05
K00788	0.000310210352998615
K00789	0.000347856765094424
K00790	0.000433307502391845
K00791	0.000285151241218551
K00793	0.000214486022425595
K00794	0.000208858837203908
K00795	0.000242686425814946
K00796	0.000248630900503502
K00797	0.000321626307216975
K00798	0.000182897587259943
K00799	0.00155131128954442
K00800	0.000397522845882771
K00801	4.86680351080557e-06
K00803	0.000184262241580186
K00805	0.000186124324037241
K00806	0.000287983811278604
K00808	0
K00809	0
K00812	0.000729629423760858
K00813	0.000225214075058434
K00817	0.000565752293843735
K00819	0.000213577526008411
K00820	0.000279148974213386
K00821	0.000974971181224531
K00822	0.00035567339483986
K00823	0.000591988290164696
K00824	0.000237301908804851
K00826	0.000416671774143327
K00830	9.60525850005628e-05
K00831	0.000256229743906002
K00832	0.000230774562569323
K00833	0.000427424243059605
K00835	4.86680351080557e-06
K00836	0.000298044421115647
K00839	2.57959068792883e-06
K00840	0.000125105827921587
K00841	0.000127774846151749
K00842	0
K00844	1.66342985667832e-05
K00845	0.000338342109779461
K00846	0
K00847	0.000182559806531217
K00848	9.9478885647989e-05
K00849	0.000126125810862716
K00850	0.000232102809208491
K00851	3.03414611976462e-05
K00852	7.47341076466991e-05
K00853	0.000100280871489062
K00854	0.000124119236047117
K00855	0
K00856	0.00014223348676005
K00857	3.9079705803185e-05
K00858	0.000269436075928967
K00859	0.00027044441211225
K00860	7.85620193810066e-05
K00862	0
K00863	3.17260984506635e-05
K00864	0.000366103837211632
K00865	0.000238536613724222
K00867	1.08958287555349e-05
K00868	0.000300372108429884
K00869	0
K00872	1.3438188798493e-05
K00873	0.000305830162435429
K00874	0.000266911539838971
K00875	0
K00876	0.000153696995242612
K00878	0.000120865451660203
K00879	5.35729560395902e-06
K00880	6.05081690224036e-05
K00881	0
K00882	9.80717885614393e-05
K00883	2.908073160371e-05
K00884	0
K00885	0
K00886	2.90648731097185e-05
K00887	6.93478733583566e-05
K00891	0.000337478136753466
K00892	0
K00895	1.57626322663404e-05
K00897	2.17916575110697e-05
K00899	2.36793424929203e-06
K00901	0.000160386599281473
K00903	1.30099447827282e-07
K00906	0.000189850772606877
K00912	0.000172171538029238
K00917	6.59197730434203e-05
K00918	0
K00919	0.000270050967637515
K00925	0.000274947158788626
K00926	2.56415367990943e-05
K00927	0.000379736236177268
K00928	0.000319765584307389
K00929	4.10500348364776e-05
K00930	0.000271757147431953
K00931	0.000261131903147557
K00932	1.31683873245464e-05
K00936	4.77192826721996e-06
K00937	0.000209729570448552
K00938	0
K00939	0.000330091571513575
