function.	skin_1
K01972	112.31
K01974	0.58
K01975	1.19
K01989	44.15
K01990	906.299999999999
K01991	6.89
K01992	732
K01993	4.87
K01994	0.17
K01995	60.75
K01996	61.87
K01997	61.87
K01998	94.37
K01999	75.13
K02000	1.85
K02001	1.33
K02002	4.9
K02003	458.32
K02004	356.42
K02005	27.08
K02006	35.35
K02007	35.18
K02008	35.43
K02009	36.17
K02010	31.13
K02011	31.45
K02012	73.58
K02013	333.85
K02014	40.41
K02015	687.43
K02016	521.82
K02017	69.73
K02018	103.29
K02019	14.89
K02020	73.21
K02021	32.78
K02022	2.26
K02024	0.51
K02025	13.53
K02026	12.7
K02027	82.61
K02028	193.94
K02029	155.76
K02030	280.82
K02031	144.5
K02032	234.61
K02033	234.87
K02034	239.64
K02035	258.88
K02036	124.22
K02037	120.55
K02038	120.55
K02039	99.71
K02040	124.01
K02041	50.28
K02042	98.26
K02043	0.38
K02044	56.62
K02045	35.67
K02046	35.67
K02047	35.67
K02048	36.87
K02049	88.73
K02050	89.36
K02051	122.1
K02052	6.19
K02053	7.31
K02054	3.25
K02055	7.83
K02056	57.56
K02057	113.15
K02058	38.72
K02062	0.85
K02063	1.85
K02064	1.85
K02065	16.03
K02066	16.61
K02067	16.86
K02068	57.87
K02069	91.29
K02071	159.17
K02072	158.17
K02073	191.41
K02074	2.87
K02075	3.29
K02076	46.8
K02077	3.95
K02078	119.08
K02079	0
K02080	0
K02081	0.25
K02082	9.68
K02083	0.5
K02086	50.47
K02092	0.67
K02093	0.67
K02094	0.67
K02095	0.67
K02096	0.67
K02097	0.67
K02099	0.51
K02100	0.34
K02103	0.84
K02106	1.93
K02107	14.84
K02108	99.64
K02109	107.64
K02110	99.64
K02111	99.64
K02112	99.64
K02113	55.65
K02114	100.1
K02115	99.64
K02116	10.71
K02117	30.11
K02118	30.11
K02119	28.2
K02120	30.36
K02121	16.76
K02122	28.36
K02123	30.11
K02124	30.11
K02160	113.94
K02164	0
K02167	0.62
K02168	3.21
K02169	13.34
K02170	1
K02171	40.72
K02172	40.72
K02173	0.25
K02182	32.88
K02188	36.37
K02189	3.78
K02190	1.75
K02191	2.67
K02192	2.58
K02193	1.1
K02194	1.1
K02195	1.1
K02196	0.85
K02197	1.1
K02198	1.1
K02199	1.7
K02200	1.53
K02203	33
K02204	3.33
K02205	0.17
K02217	69.12
K02221	97.2
K02224	37.7
K02225	1
K02226	5.84
K02227	39.41
K02228	0.58
K02229	1.34
K02230	2.87
K02231	37.83
K02232	38.58
K02233	37.83
K02234	1.79
K02236	52.14
K02237	110.25
K02238	116.54
K02239	0.17
K02240	50.3
K02241	1.42
K02242	71.63
K02243	50.3
K02244	50.3
K02245	50.3
K02246	50.1
K02247	0
K02248	3.67
K02249	0
K02250	46.63
K02251	0
K02253	0
K02254	0
K02255	0
K02258	1.58
K02259	49.85
K02274	4.6
K02275	5.22
K02276	4.81
K02277	0
K02278	2.71
K02279	3.6
K02280	3.26
K02281	0
K02282	3.47
K02283	37.07
K02284	0.67
K02285	0.67
K02286	0.67
K02287	0.67
K02288	0.67
K02289	0.67
K02290	1.34
K02291	4.59
K02292	0.67
K02293	0.67
K02294	0.67
K02297	2.76
K02298	43.36
K02299	44.1
K02300	43.53
K02302	1.08
K02303	88.13
K02304	48.8
K02305	0
K02313	111.56
K02314	113.32
K02315	36.71
K02316	112.23
K02317	0
K02334	9.7
K02335	112.31
K02336	0.87
K02337	112.96
K02338	107.08
K02339	3.18
K02340	112.65
K02341	105.32
K02342	134.22
K02343	113.4
K02344	0.85
K02345	0
K02346	135.3
K02347	47.26
K02348	15.83
K02351	0.62
K02352	45.89
K02355	163.85
K02356	112.56
K02357	112.31
K02358	128.49
K02361	1.83
K02362	0
K02363	0
K02364	0
K02371	9.29
K02372	66.74
K02377	11.28
K02379	67.49
K02380	2.1
K02381	0.17
K02383	0.5
K02385	0.92
K02386	3.99
K02387	11.32
K02388	11.32
K02389	11.32
K02390	18.69
K02391	2.08
K02392	20.64
K02393	10.65
K02394	10.65
K02395	3.08
K02396	10.99
K02397	10.99
K02398	2.83
K02399	1.5
K02400	11.82
K02401	11.32
K02402	1.58
K02403	2.08
K02404	10.49
K02405	11.32
K02406	47.14
K02407	11.74
K02408	11.32
K02409	11.32
K02410	11.49
K02411	10.66
K02412	11.32
K02413	2.33
K02414	2.5
K02415	10.49
K02416	10.49
K02417	19.31
K02418	2.5
K02419	11.32
K02420	11.32
K02421	11.32
K02422	10.82
K02423	1.58
K02424	53.63
K02425	0
K02426	3.13
K02427	3.93
K02428	146.48
K02429	5.38
K02430	0.34
K02431	1.96
K02433	113.45
K02434	110.02
K02435	109.52
K02436	0.17
K02437	96.91
K02438	69.69
K02439	0.85
K02440	99.93
K02441	0.68
K02442	0
K02443	81.22
K02444	4.89
K02445	81.2
K02446	3.91
K02448	0
K02450	0.33
K02451	0.33
K02452	1.45
K02453	12.4
K02454	13.9
K02455	11.52
K02456	15.62
K02457	2.03
K02458	2.03
K02459	2.03
K02460	2.03
K02461	2.03
K02462	2.03
K02463	1.45
K02464	6.99
K02465	0
K02466	0.34
K02467	0
K02468	0.34
K02469	145.48
K02470	144.81
K02471	5.44
K02472	56.87
K02473	0.57
K02474	1.84
K02475	0.41
K02476	0.41
K02477	1.35
K02478	0.75
K02479	0.5
K02480	2.75
K02481	8.99
K02482	1.67
K02483	65.79
K02484	103.39
K02485	0
K02486	0
K02487	0.17
K02488	0.67
K02490	0.17
K02491	0
K02492	94.35
K02493	112.56
K02494	3.6
K02495	140.31
K02496	2.43
K02497	6.28
K02498	3.43
K02499	47.72
K02500	95.68
K02501	95.68
K02502	4.17
K02503	80.46
K02504	0.68
K02505	0.85
K02506	0.85
K02507	0.85
K02508	0.17
K02509	2.08
K02510	3.74
K02511	0.13
K02517	50.33
K02518	113.89
K02519	112.56
K02520	112.31
K02521	0.85
K02523	13.53
K02525	0.79
K02526	12.47
K02527	13.78
K02528	112.31
K02529	162.17
K02530	51.22
K02531	3.77
K02532	6.39
K02533	3.75
K02535	14.34
K02536	16.36
K02538	46.06
K02545	40.52
K02547	40.52
K02548	83.4
K02549	81.29
K02550	0
K02551	82.85
K02552	113.32
K02553	1.74
K02554	0.93
K02556	11.11
K02557	21.21
K02558	4.34
K02560	0.85
K02562	0.51
K02563	112.31
K02564	56.97
K02565	1.26
K02566	8.88
K02567	8.17
K02568	8.17
K02569	0.85
K02570	1.18
K02571	0.34
K02572	0.51
K02573	8.17
K02574	8.17
K02575	5.6
K02584	1.5
K02585	0.5
K02586	1.5
K02587	1
K02588	2.25
K02589	0.5
K02590	0.5
K02591	1
K02592	0.5
K02593	0.67
K02594	0
K02595	0.67
K02596	0.67
K02597	0.67
