	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K05341	7967	8268	3578	1039	1197	9415	12166	4005	10227	1956.5	3173	8272.5	16901	4035	2191	9602	9037	2342	8151	4024	13297	3557	5085	34145	7709.75	1326	2991.75	34050	61904	21286	2451	33255	24297	10279	21290.25	31593	67005	33105.5	11688	5686	9621	25100	25301	8489	9471	14986.5	7443.5	24396.25	2791	32460	15372.5	15256	3080	16723	8633.25	3073	9252	114701	47914	36787	14772	5552.75	15080	22457	22022	21139	12136.75	24511	18108	9607	15247	33262	88901.5	33684.75	11443	82290	28726	2094	6181	2513	11800	10935.75	12213	11220.5	14490	23141.5	36679.25	2396.25	20598	27238	14119
K05342	23	0	3.31	0	0	76	529	0	9	35	22	9	0	46.85	31	376	0	10	200	10	0	16	0	32	63	3.85	823	143.12	1402	37	203.5	0	283	2.08	80	13	339.62	431	49	206.92	7.33	202	1252	6.69	0	41	63.62	0	71.62	40	149	47	301	46	255.5	28	0	0	215.15	0	5.46	173.85	29	764	341.85	2.5	285	23	1419	0	21	24	2076	19	0	17391.03	0	1312	0	151	22	2	13	76	277.31	944	2364	285.33	310	223	2863
K05343	15289.3	5859.67	2160	2348	9316	2073.2	8749.87	4049.5	8275.2	24058	26032.2	7325	12544	251	732.4	3989	7647	1601.11	2266	2055.4	11407	3907.4	9918.2	42868	9241.63	3563	32727.33	22135.83	35184.5	71059.33	14383	29356	23387	17090	18751	10684.67	744	47244.17	22538.4	34062.8	3046.5	625.83	19737.5	17488	22860.33	6775.8	116.8	12604	4443	12188.8	9580	2104	6971.4	11487	17395	3039.4	6741	11624.2	5249	3187.2	3481	4778	12176	10514	9034.4	6495	24563	24999.8	26550	175	5059	2745	24688	20900.5	6483	3721	9373	8881	3804	12764.2	224.6	7942.87	896	8390.2	3268.5	1069	7039.5	9120.67	10105.17	2281	2652
K05346	833.2	1988.6	294.1	70	153	4420	3833	62	3650	9540.1	567.2	2569.4	6304	513	3617	4750	1010	252.71	5244	1371	5022	670	677.9	10020	2640.2	256917	409	5661	6116	15890.5	4248	6355	1446	5720.6	6498	2204	2905	11864.5	644.7	2096	1476	1470	6466	1144	3019.8	557	1846	1816	294.6	862	3430.1	1917	161	3315	1857	545	3450.5	23123	7445.2	12328.4	7324	1727.8	9567	1675.5	5661	4349	2283	6306	14716	1159.5	3346.8	17956	11349	3954.6	1140	48395.6	2049.5	2334.4	1908.8	302	821.5	1973.6	3661.5	3060	319	713	7241.8	1562	9953	624	1095
K05349	246090.81	180830.63	107196.38	208104.88	131855.53	156501.14	402868.93	197972.59	294561.26	77871.03	102800.21	128716.32	119612.05	163325.69	60179.53	87433.51	69138.67	128742.44	181085.97	127547.27	376542.59	108939.99	151789.2	1208116.3	614559.44	424842.2	1617455.17	910157.17	996769.94	773700.65	554218.72	376367.43	1197628.36	265772.98	354101.56	375985.85	449787.98	733966.65	779566.06	876149.1	517073.4	511731.18	548220.28	299794.62	310048.14	385191.14	111276.1	359356.63	220296.03	310210.95	303458.36	275240	495004.14	483927.96	336925.12	326703.51	270839.13	545779.18	356800.02	318810.7	243416.35	241137.35	230896.33	481825.45	269749.62	493873.25	475325.95	350806.36	953890	195220	421647.11	486137.47	457051.22	248903.88	282925.86	595440.59	268086.12	646864.03	227549.5	318163.81	421918.85	158992.93	311267.31	421564.09	500425.48	425921.58	221434.17	340307.81	692774.61	877345.93	436337.55
K05350	15571.5	13476.67	10157	8756	13087	8640	19989	12892	20626	24644	7570	28921	11138	4064	5103	7219	5178	16822	5931	14847	25712	18067	10809	61226	92918	17011	129012.33	69226.33	71548	54725.33	39265	34861	53264	17282	45092.88	23841.17	43923	86787	14791	46562	10095	15234.33	24552	24821	14621.33	16366	4687	18037	6734	10135	16927	7003	14434	30101	10108	14861	13299	35171	35413	16392	26660	5840	26971	14881	15650	139642	17575	15110	29837	21628	15067.33	24351	17779	28679	11161	94414.12	16586	17750	22303.25	15134	22885	4725.67	20845	39633	51170	34293	32131	68034.67	85169.67	35479	88668
K05351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	1.33	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	4	0	0	0	0	143	0	1508	4.33	0	0	0
K05352	1270	25	436.67	47	25	116	28.33	377	4536	3	43	82.67	32	0	0	0	2318	32	0	79	52	52	254.67	8	51931	16989	411	1508	3706	17394	14414.33	20	42	497	2228	2626.67	1288	5131.67	14	125.67	30.33	320.33	170	1889	1431.33	2503	145	832.33	560	70	2885.67	2	203	9	25	537.67	475	251.67	480.33	982.67	357.33	7856.33	3611.67	848	618	55	56	49	74	137	1587.66	26	18	28.33	1466	168	1239	26.67	5540	2442	186.67	483	206	18755.33	1238.67	0	80	568	250	130.33	262
K05356	1.5	0	0	0	9	6	0.67	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	10.5	0	260.67	0	5	0	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	7	0	5	0	14	0	10	0	0	0	0	0	5	0	0	0	0	0
K05358	12	29	0	140	0	0.67	0	1650	513.8	14	0	3.2	28	0	0	0	0	4	99	0	6	2.5	0	0	0	0	7.93	5.17	13	3	4	0	34.4	202	0	15.5	10.47	186	18.5	0	0.5	2.33	0	239	18	3745	1	0	0	0	0	4	15	188	0	0	1.33	0	22	389.83	4.2	6	99.6	3	0	20.3	0	0	0	6	36	19	0	0	761.6	0	19.83	3	166.17	2.6	1.4	65	644	4.6	14.87	0	0.4	10.6	4.6	0.8	0
K05362	2696.2	1285.07	914	79	39	4845	566	539	1188	75	14	6728	1561	58	10218.6	180.4	391	428	96	48	540	851	351	4659.7	150.27	462	419.33	1555.53	8548.4	412.33	320	915	114	199	3987.2	219.67	21557	3604.67	1088	3112	40	40484.33	6889.3	2583	2292.33	508.27	1632	707	5	1914	8217.2	831	471	298.3	116	40	10	5934	4392.2	815	1498	2162.8	362.8	10769.2	8622.8	1669	1221	2784	415	1009	326.33	232	4625.4	4584	1052	30870.6	49680	102	78	33	513	561.67	919	99.67	3562	197	12460	3953.67	828.67	370.93	1921
K05363	2704.2	1294.4	1481	1037	14	4833	581	339	1503	75	23	6699	1470	502	11671.6	180.4	444	3130	96	48	502	838	361	4665.7	416.94	269	224	1503.2	9209.9	492	960	885	4194	9927	4050.2	7041	21087	5447.34	1228	4108	575	40097	6811.8	10562	7852	4834.94	2597	101	17	2035	8196.2	849	952	1934.8	99	2039	0	5701	4069.2	776	1187	2197.8	372.8	10794.2	8220.8	2501	1221	2783	473	2184	385.33	343	4650.4	4560	1026	50483.6	49485	84	355	225	7576	760	1326	93	5953	250	12460	4072	800	449.26	1844
K05364	57226.1	38861.07	32024.17	21733	22735.5	29597	31117.2	26391	82084.5	37420.5	39506.1	34107.41	43323.6	15666	18877.5	23837.4	29879	17471	12411.2	13642.33	74165	23702.5	31056.67	160315.3	131234.4	19927.1	31764.33	156968.23	214019.4	202720.83	99517.13	118782.5	112294.4	60902.33	123341.4	84267.84	73654.9	164169.84	42241.2	92928.67	45699.49	27032.06	79288.63	80172.5	66321.19	60362.33	24154.2	59921.33	35341.5	57247	84143.34	20990.13	26834.4	62977.5	53933.5	34320.07	57686.5	127862.97	138331.7	110733.17	81247.13	49877.33	90012.67	36118.7	73301.27	41294	60765.3	105180	28073.5	50672.37	58997.83	117060	124974.7	94090.9	62301.17	169183.17	75287.5	20867.37	75984	35766.17	36258.54	30280.67	46957.8	88251.33	55066.17	53271.5	48636.2	44261.6	65877.17	61933.03	22991.87
K05365	1237.58	32	483.45	154	224.5	0.67	20.75	2277.75	856.23	7	22.5	10.95	33	2327.75	5858.25	638.58	151.75	20.5	2772	148.75	2378.17	12.5	88.75	178.75	1319.16	9643.75	4000.93	600.67	278.17	228.66	12465.58	0	39.4	324.75	2	989.5	53.22	2369.75	58.5	676	185.25	612.58	5809	475.5	10350.08	9679.75	17975.5	546.75	181	1143.5	35.5	261	360.75	639.92	0	21.83	17.83	34.5	88	389.83	25.95	70.5	198.1	15.75	720.25	139.55	112	20	57.5	25.75	574.75	35.75	132.75	0	1591.85	76	399.08	143.58	16958.84	9980.35	336.15	3169.08	778.75	3439.93	1346.37	5693.25	12928.48	242.1	443.1	423.88	8901.33
K05366	134847.08	87440.24	80009.4	74759.65	80641.18	78172.37	145360.13	80194.43	194916.13	76915.06	79950.84	112972.96	72145.05	83984.69	69612.26	30914.29	38321.59	81196.78	60780.96	64295.55	173124.02	81141.18	83522.37	445582.96	502242.8	437253.31	552624.56	477344.93	432583.77	463854.4	433332.42	169076.72	437429.34	172728.13	244563.27	212813.01	220149.47	463140.99	187162.39	444104.6	290068.46	207521.73	183938.26	183812.68	189554.77	234829.72	73311.5	140338.14	103422.69	141856.2	202470.03	115673.87	176229.27	178758.21	166353.86	146567.08	157227.86	187346.48	181203.13	160114.62	148885.9	151875.43	174157.56	161173.43	168660.96	414831.3	158246.63	182835.28	184670.25	123609.81	171866.85	270101.23	172154.27	139399.46	156247.16	368037.49	169767.09	179457.19	192793.83	141959.34	179603.67	86740.96	196862.23	277745.28	305683.32	198786.66	220144.97	288104.52	321510.92	300149.23	246640.78
K05367	4478	3617.37	1457.98	3032.63	1579	1331.6	8426.71	5623.59	4869.15	63	1451.29	163.75	88.75	4329.13	6857.97	655.25	218.92	637.92	9047.17	1581.21	5066.34	1297.92	1864	16136.5	20993.73	31559.11	88904.88	13479.46	33578.48	17608	43694.41	1033.88	41323.46	1244.3	2549.5	5276.12	336.33	35039.87	43130.79	24570.28	2368.25	3478.92	23502.5	3595.8	15416.8	14047.49	18631.1	8959.83	1617.13	9177.5	5961.92	6235.75	17636.42	22862.3	3362.75	6230.71	6298.29	1477.08	449.95	314.5	381	7204.42	1290	13303.5	3041.84	813.25	17880.33	3971.21	61200.25	3035.05	6274.2	4781.62	945.17	973.33	11001.54	2177.5	1237.65	12380.25	17127.75	24394.78	27609.3	5005.29	4283.13	15457.49	21279.93	20116.25	18105.38	6580.58	16355.67	16311.08	15394.83
K05368	1058.75	29	479.25	154	157.5	0	16.75	1745.75	733.43	0	17.5	5.75	33	2311.75	475.25	638.25	149.75	11.5	99	55.75	12.5	0	34.75	5.75	1232	8777.25	3932	543.5	272.5	36	12438.25	0	35	229.75	2	949	42.75	2099.75	58	458	2.75	558.25	5805	275	9697.25	6765.75	17877.5	546.75	99	1137.5	8.5	181	289.75	489.75	0	15.5	10.5	34.5	7	388	3.75	70.5	196.5	5.75	620.25	62.25	12	0	53.5	16.75	549.25	31.75	132.75	0	1526.25	76	325.25	116.75	16779	9977.75	134.75	3162.25	778.75	2914	191.5	5692.75	12923.75	222.5	302.5	123.25	8895
K05371	1.5	0	0	0	9	6	0.67	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	10.5	0	260.67	0	5	0	0	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	7	0	5	0	14	0	10	0	0	0	0	0	5	0	0	0	0	0
K05372	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K05373	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0
K05374	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0
K05375	102	10	4.2	52	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	32.5	47	0	138	0	0	79	0	0	0	0	0	50	40	0	36	0	4	0	0	353	13	0	0	0	25	0	0	33	38	0	12	0	0	44	0	0	32	0	0	0	57	0	0	0	12	15	0	0	0	24	22	0	0	16	7	0	0	24	64	100	0	62	0	0	10	0
K05396	1796.42	632.67	1541.28	517.33	453.17	1547.33	1695.75	3015.75	2002.1	685	355.5	253.75	219	2837.75	3601.92	768.25	175.75	279.5	614	118.75	366.17	1298	597.75	407.75	4141	12954.91	83517	2555.17	9210.17	2583	21869.25	700	5917	4635.75	418	2892	379.08	4753.25	4638.16	7420	229.08	710.25	11081	818	12099.25	11113.42	18034.5	1628.75	1254	3964.5	3831.5	2148	5776.08	2820.08	607	249.17	235.5	190.5	371	879	578.75	6013.17	1230.5	4469.25	1449.92	98.25	918	411	8481.5	774.25	2398.92	1437.75	1202.75	548	4887.25	7345	1202.75	6856.75	19165	11308.08	1919.25	4646.92	4700.25	5674.33	1148.17	13554.75	21406.75	1729.5	3056.17	1499.25	22705.33
K05499	5936.25	12306	6731.75	3286	3788.5	2981	5566.25	4695.75	3718.93	942	1196	4241.75	1310.5	4169.75	8910.25	1531.25	980.25	3388.5	3736	2466.75	11039.5	1301	2159.75	8682.75	14584.5	13139.25	146576	14159	39915.5	19223.5	34258.75	1570	20185.5	6393.75	5945.5	4594	2382.75	9695.25	7172	11153.5	3313.75	1535.25	14715	15602	16974.75	18214.25	32719.5	3815.75	5159	5578.5	12460	3336.5	13026.25	9745.25	2332	6009.5	5198	6195.5	22435	2129	6203.25	6981	9971.5	7033.75	7317.25	891.25	3051.5	4355	17277.5	11913.75	13324.75	7245.75	5661.75	2336	9994.25	29597.5	5133.25	19094.75	27459	19984.75	14049.75	5913.25	7689.25	10456	12075	21613.25	21167.75	7857	16771	4729.25	43100.5
K05501	1799.58	179	546.25	614	229.5	89	884.75	2471.75	1147.43	0	78.5	5.75	35	2576.75	406.25	641.58	151.75	206.5	621	312.75	3686.17	279	625.75	6034.75	2583.16	8917.75	4613	2904.5	6421.17	6508.66	14859.58	0	2473	413.75	286	1586	45.75	2732.75	76	1356	1187.75	819.25	7024	1147.5	10501.08	7480.75	17974.5	1234.75	511	1522.5	268.5	267	3155.75	2272.92	2671	53.5	297.5	1140.5	199	388	157.75	1231.5	359.5	160.75	861.25	294.25	1846	249	57.5	214.75	1480.75	1611.75	455.75	104.5	2297.25	115	336.25	159.58	16977.67	10106.75	1941.75	3169.08	1376.75	2998.33	1838.5	5806.25	12924.08	247.5	1079.5	2516.08	8935.33
K05515	126658.5	76857.19	68862.7	70261.18	73177.8	71222.37	118370.44	77194.42	194219.14	48468.33	70401.72	65291.19	56984.95	69099.46	45704.29	24320.81	37797.17	62982.49	47494.04	48753.44	196519.43	58659.69	87341.52	528228.61	365480.17	122251.11	426738.56	445070.73	416110.88	444652.32	341886.69	176796.8	369868.59	137590.18	202670.48	204358.36	142291.52	304959.06	166521.39	424337.43	191793.6	140986.81	181358.88	183873.21	201589.32	203724	67694.95	160056.94	103982.52	123542.55	180841.51	94150.92	135119.27	164442.44	140924.97	132894.78	153593.74	173658.07	163853.3	143018.6	135236.72	139845.6	167208.93	151829.3	190354.16	173737.05	186274.88	192671.28	158594.25	91323.99	172586.09	292330.05	150564.2	122887.56	163850.19	231877.43	115243.12	148868.83	209383.78	134985.24	123386.77	80242.39	153593.33	245512.15	246475.88	132840.08	117054.79	168495.36	223856.18	242079.52	134867.95
K05516	14006.4	11329.37	7352.95	19308.93	10536.3	10890.47	41371.41	12274.59	12742.55	122.5	7783.79	216.62	734.85	24146.53	6448.37	571.25	526.42	5726.32	17725.17	5438.61	12980.34	4920.02	7731.27	60730.23	37369.63	11863.41	224865.81	42000.63	55941.88	41340	63144.19	4460.88	90592.36	29283.3	3999.5	12973.19	1192	42020.11	73087.69	60486.65	97290.68	29008.58	42810.67	12461.8	24421.99	47502.22	19820.7	12925.36	20535.73	24012.3	19688.29	27835.45	54268.32	36842.3	36501.55	30560.63	16883.32	3497.35	2008.28	144.1	911.63	23487.25	3162.77	29892.1	4593.71	886.55	28445.83	11748.61	100490.25	11372.45	36087.73	10842.72	6679.67	2041.16	15371.94	5578.9	2131.38	66420.52	18291.52	34939.18	34382.77	17579.89	37606.03	22353.32	30214.77	24560.75	11616.18	10360.18	30825.17	87885.91	29838.33
K05517	1058.75	29	479.25	154	157.5	0	16.75	1745.75	733.43	0	17.5	5.75	33	2311.75	340.25	638.25	149.75	11.5	99	55.75	12.5	0	34.75	5.75	1232	8768.25	3932	543.5	272.5	36	12438.25	0	35	229.75	2	949	42.75	2099.75	58	458	2.75	562.25	5805	275	9697.25	6765.75	17877.5	546.75	99	778.5	8.5	181	289.75	489.75	0	15.5	10.5	34.5	7	388	3.75	70.5	196.5	5.75	620.25	62.25	12	0	53.5	16.75	549.25	31.75	132.75	0	1526.25	76	325.25	94.75	16775	9977.75	134.75	3162.25	778.75	2655	80.5	5692.75	11415.75	222.5	302.5	123.25	8895
K05518	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	32.5	256782	41	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
K05519	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	69.5	0	101	0	0	2	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	12	0
K05520	8135.15	4266.2	5071.85	2976	6435.5	1777.33	6268.09	4317.59	9607.84	7554.2	4986.57	17197.55	3677.25	4004.75	2206.59	763.25	1069.42	8862.88	3967.67	8291.08	3918.84	11371.42	4156.55	11720.75	66666.56	278722.91	42916	31745.59	9573.75	15187	43722.58	2955.75	32309.33	1690.95	18411.5	15907	25566.58	42014.17	10086.56	38099.33	3877.08	10262.92	7480	3154	16276.85	9232.42	23531	4800.08	3425.2	4267.5	6967.7	3078	7841.75	8124.75	4787	11527.84	6598.17	817.33	3128.98	4876.8	4203.75	6036.02	6539.5	5881.75	3470.59	96713.25	1478.33	4130.33	4938.5	10425.17	6669.85	4165	1528.42	6232.28	6671.67	8852.2	4366.25	6024.75	25499.6	17943.75	15779.75	5913.12	10223.75	24791.33	32332.51	24909.75	19151.1	48962.16	43736.17	23803.58	54579.33
K05521	1	106	5.87	3	0	0	16.33	0	9	21	7	16.67	2	0	486	0	0	10	4945	10	0	13	4.67	36.33	613	13	111	96	7	13	20.33	0	207	0	58	61.67	83	6062.67	49	1557.67	567.33	12.33	12.67	10	264.66	38	32	224.33	0	4	2.67	0	5	18	7	168.67	2	3.67	40.33	4.67	4.33	69.33	11.67	0	0	109	0	4	0	6	37.33	0	0	20.33	726	10	14	21.17	9	53	415.67	0	9	2808.33	102.67	23	38	195	266	213.33	236
K05522	1058.75	29	479.25	154	163.5	0	29.75	1747.25	757.43	30	31.5	50.42	33	2316.75	360.25	649.25	191.75	32.21	99	79.08	12.5	32	43.75	80.75	1376.83	8784.25	4154	787.5	287	69	12485.75	12	388	269.75	204.5	987.5	279.75	3250.25	108	717	19.91	581.75	5832.5	287	9699.25	6765.75	17917.5	546.75	99	778.5	122.5	182.33	303.75	540.75	14.5	15.5	10.5	45.5	7	388	10.75	70.5	200.5	10.75	626.92	94.75	12	0	53.5	16.75	577.25	31.75	139.75	135.5	1526.25	140.67	498.25	69.75	16788	10044.75	152.75	3162.25	778.75	2742	714	5759.75	11553.25	843.16	751	530.25	9502
K05523	1004.75	0	448.25	11	3.5	0.67	12.75	102.25	244.3	0	17.5	8.95	5	2217.75	201.75	452.25	149.75	7.5	0	55.75	6.5	2.5	13.75	5.75	1193	6740.25	3939.93	548.67	250.5	39	12508.25	4	13.4	27.25	2	286.5	313.97	844.5	7.5	419.5	3.25	560.58	5805	16	9696.5	2764.75	14097.5	473	117	765.5	8.5	0	274.75	303.75	0	15.5	11.83	34.5	0	1.83	7.95	64.5	96.1	432.75	586.25	89.55	40	0	34.5	16.75	509.25	12.75	141.75	0	765.85	110	145.08	25	109.17	9985.35	136.15	2192.25	127.75	2646.85	64.12	5692.75	3248.4	265.1	351.1	124.05	8895
K05524	7975	5113	5190.2	4512	8640	2736.67	9021	5801	12152.8	10437	5890	23120.87	4681	1610	2244	280	570	11964	5642	10669.33	5074	14630.5	5598	22553	87919	13385	54333.93	47447.17	12624	21499	34769	2574	38686.4	684	25318	18313.5	35074.47	57557	12919.5	41421	5423.5	13193.33	3682	4164	4070	6544	2088	4881	3527	2750	2819	4294.33	10659	10369	9352	11918.33	6949.33	1739	3245	4401.83	3968.2	3581	6195.6	8320	3842.67	134902.3	3679	2956	1138	11714	6690	4250	2360	7659.5	5082.6	14286.67	5327.83	8485	10316.17	8329.6	18267.4	1896	11586	29481.6	44527.87	18778	9450.4	65021.6	60279.6	29915.8	65138
K05526	1058.75	32	483.45	154	157.5	0.67	16.75	1753.75	734.23	7	17.5	10.95	33	2311.75	475.25	638.25	149.75	11.5	99	59.75	12.5	2.5	34.75	5.75	1232	8768.25	3939.93	581.67	272.5	45	12461.25	0	39.4	229.75	2	964.5	53.22	2228.75	58.5	465	3.25	564.58	5805	275	10024.25	6767.75	17878.5	546.75	99	778.5	8.5	181	289.75	495.75	0	15.5	11.83	34.5	29	389.83	25.95	70.5	198.1	15.75	620.25	139.55	12	0	53.5	22.75	549.25	31.75	132.75	0	1526.85	76	326.08	97.75	16780.17	9980.35	144.15	3162.25	778.75	2659.6	115.37	5692.75	11420.15	239.1	322.1	124.05	8895
K05527	8700.58	4602	4845.45	3658	8736.5	1957.67	8863.75	7274.75	12045.23	10437	5754.5	23121.95	4706	3521.75	2484.25	824.58	719.75	11679.5	5095	10498.75	7095.17	14452.5	5302.75	22386.75	87256.16	21743.75	55723.93	46764.67	9887.17	19418.66	43990.58	2428	35754.4	702.75	24898	18612.5	35008.22	58974.75	11055.5	41071	4228.25	13736.58	7897	3599.5	13477.08	11306.75	20014.5	3813.75	3325	2575.5	2472.5	4125	7633.75	8112.92	8627	11038.83	6518.83	1688.5	3048	4767.83	3827.95	2278.5	6086.1	7166.75	3661.25	134951.55	3258	2215	1095.5	10848.75	5281.75	3367.75	1870.75	7505.5	5423.85	9696	5490.08	6793.58	25246.84	18283.35	18106.15	4807.08	11147.75	31517.93	44108.37	23979.25	21710.48	64979.1	59797.1	29955.88	73159.33
K05539	5238.58	1294	1356.45	1427	2934.5	438.67	3056.75	5067.75	4606.23	3071	1602.5	6837.95	1227	2953.75	6600.25	716.58	456.75	7201.5	4283	3153.75	6753.17	4273.5	2804.75	16060.75	26213.16	14649.75	19275.93	22644.67	7649.17	10299.66	20886.58	981	12442.4	1068.75	7807	7784.5	10195.22	23684.25	3774.5	14543	3213.25	5755.58	7579	3155.5	11883.08	11578.75	18397.5	2146.75	1426	1772.5	916.5	1566	5458.75	4434.92	4515	2501.83	2327.83	1290.5	1189	1720.83	678.95	1976.5	7279.1	2193.75	1786.25	38610.55	2197	1338	196.5	1655.75	3761.75	6613.75	1824.75	2776	4068.85	1178	1909.08	1853.58	19716.84	12436.35	5731.15	3923.08	4454.75	12926.93	16845.37	10735.25	15813.48	19043.1	17596.1	10852.88	28455.33
K05540	17089.4	15906.62	18527.65	10662.83	7507.42	3913.5	7620.83	10253.25	38486.48	9003.7	7818.98	18768.92	4187.75	7666.25	5966.09	897.83	2953.5	11283.75	4544.75	9527.5	12268.26	14059.5	7055.47	21497.83	134605.56	25411.41	54128.93	47323.34	40182.59	60651.91	76611.91	8063.5	54392.81	10726.37	28018.5	30623.42	26230.97	61915.84	10601.56	59000.83	11150.83	13467.66	11424.42	13529.5	24280.92	26059.33	21583.33	10554.41	11421.7	12367.25	23016.62	26374.42	17232.25	14612.25	21295.25	26831.17	13757.08	7408.42	11834.98	5606.05	7641.53	14101.85	18427.27	5531.75	11695.59	97260.3	5101.25	12081.5	4454.5	27731.92	17089.35	34702.25	5766.75	9275.28	16804.1	12280.28	7570.58	10576.38	52662.86	29448.18	23699.82	7964.95	17953.75	43830.92	47237.88	22701	27574.08	58324.6	45776.44	34524.96	54206.16
K05541	1482.58	597.67	583.45	154	229.5	0.67	99.42	2280.75	2639.23	83.33	22.5	55.62	33	2607.08	5858.25	639.91	149.75	34.17	2830	167.08	2450.84	758.17	88.75	207.75	7966.49	26765.75	4000.93	1581.67	872.5	380.99	14991.58	1215.67	770.07	673.08	645.33	2115.17	75.55	3997.75	74.5	1594.67	583.92	632.58	11466.33	525.17	10997.08	10049.75	17975.5	564.75	880.67	1143.5	1444.17	295	390.08	1827.59	3695.67	64.83	2044.5	34.5	215	508.83	30.95	8159.5	719.43	15.75	720.25	232.55	140.67	738.67	71.5	88.42	1063.08	432.08	132.75	134	1597.85	229.67	400.75	11699.91	16949.84	14052.68	625.15	4223.75	778.75	4015.93	1352.37	5936.58	40971.81	11486.43	2095.77	858.88	8897.33
K05548	0	0	4.2	0	0	0	8	0	10.6	29	7	15.4	0	0	2	0	0	16	8	18	0	13	0	37	63	26	122.2	197	0	13	23	0	173.8	0	58	28	62.6	415	25	114	6	4	0	6	309	4	2	0	0	0	0	0	5	11	7	4	0	0	0	0	8.4	0	5.2	6	0	62.6	0	0	0	0	7	0	0	19	1.2	10	0	0	0	33.2	23.8	0	0	30.2	35.4	23	34.8	206.2	158.2	189.6	247
K05549	0	3	4.2	0	0	0	8	7	9.8	22	7	14.2	0	0	2	0	0	16	8	22	0	13	0	37	63	0	116.6	161	0	13	38	0	169.4	0	58	14	57.8	418	25	121	6	4	0	6	309	2	1	0	0	0	0	0	5	14	7	4	0	0	0	0	22.2	0	1.6	10	0	59.8	0	0	0	0	7	0	0	19	0.6	10	0	0	0	30.6	22.4	0	0	25.6	34.2	23	38.4	201.6	168.6	188.8	247
